action_id,action_date,mechanism_type,target_identifier,target_type,target_category,target_entity_id,beneficiary_entity_id,status,reversal_action_id,amount_affected_usd,incident_id,request_id,trigger_id,policy_id,implementation_id,disclosure_date,discovery_source,confidence,notes_path,issuer
CU-ACT-0001,2020-06-16,BLACKLIST,0xaa05f7c7eb9af63d6cc03c36c4f4ef6c37431ee0,ADDRESS,stolen_funds,CU-ENT-0038,,ACTIVE,,100000.0,,,CU-TRG-0038,,CU-IMP-0001,2020-07-08,ONCHAIN_SCAN,HIGH,notes/CU-ACT-0001.md,Circle
CU-ACT-0002,2021-04-21,BLACKLIST,0x7f367cc41522ce07553e823bf3be79a889debe1b,ADDRESS,sanctioned_entity,CU-ENT-0001,,ACTIVE,,,,,CU-TRG-0001,,CU-IMP-0002,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0003,2021-04-21,BLACKLIST,0x1da5821544e25c636c1417ba96ade4cf6d2f9b5a,ADDRESS,sanctioned_entity,CU-ENT-0002,,ACTIVE,,,,,CU-TRG-0002,,CU-IMP-0003,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0004,2021-04-21,BLACKLIST,0x7f19720a857f834887fc9a7bc0a0fbe7fc7f8102,ADDRESS,sanctioned_entity,CU-ENT-0002,,ACTIVE,,,,,CU-TRG-0002,,CU-IMP-0004,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0005,2021-04-21,BLACKLIST,0xd882cfc20f52f2599d84b8e8d58c7fb62cfe344b,ADDRESS,sanctioned_entity,CU-ENT-0003,,ACTIVE,,,,,CU-TRG-0003,,CU-IMP-0005,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0006,2021-04-21,BLACKLIST,0x72a5843cc08275c8171e582972aa4fda8c397b2a,ADDRESS,sanctioned_entity,CU-ENT-0002,,ACTIVE,,,,,CU-TRG-0002,,CU-IMP-0006,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0007,2021-04-21,BLACKLIST,0x7db418b5d567a4e0e8c59ad71be1fce48f3e6107,ADDRESS,sanctioned_entity,CU-ENT-0002,,ACTIVE,,,,,CU-TRG-0002,,CU-IMP-0007,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0008,2021-04-21,BLACKLIST,0x9f4cda013e354b8fc285bf4b9a60460cee7f7ea9,ADDRESS,sanctioned_entity,CU-ENT-0004,,ACTIVE,,,,,CU-TRG-0004,,CU-IMP-0008,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0009,2021-09-23,BLACKLIST,0x308ed4b7b49797e1a98d3818bff6fe5385410370,ADDRESS,sanctioned_entity,CU-ENT-0005,,ACTIVE,,,,,CU-TRG-0005,,CU-IMP-0009,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0010,2021-09-23,BLACKLIST,0xe7aa314c77f4233c18c6cc84384a9247c0cf367b,ADDRESS,sanctioned_entity,CU-ENT-0005,,ACTIVE,,,,,CU-TRG-0005,,CU-IMP-0010,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0011,2021-09-23,BLACKLIST,0x2f389ce8bd8ff92de3402ffce4691d17fc4f6535,ADDRESS,sanctioned_entity,CU-ENT-0005,,ACTIVE,,,,,CU-TRG-0005,,CU-IMP-0011,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0012,2021-09-23,BLACKLIST,0x19aa5fe80d33a56d56c78e82ea5e50e5d80b4dff,ADDRESS,sanctioned_entity,CU-ENT-0005,,ACTIVE,,,,,CU-TRG-0005,,CU-IMP-0012,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0013,2021-11-09,BLACKLIST,0x67d40ee1a85bf4a4bb7ffae16de985e8427b6b45,ADDRESS,sanctioned_entity,CU-ENT-0006,,ACTIVE,,,,,CU-TRG-0006,,CU-IMP-0013,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0014,2021-11-09,BLACKLIST,0xa7e5d5a720f06526557c513402f2e6b5fa20b008,ADDRESS,sanctioned_entity,CU-ENT-0007,,ACTIVE,,,,,CU-TRG-0007,,CU-IMP-0014,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0015,2021-11-09,BLACKLIST,0x6acdfba02d390b97ac2b2d42a63e85293bcc160e,ADDRESS,,,,REVERSED,CU-ACT-0218,,,,,,CU-IMP-0015,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0016,2021-11-09,BLACKLIST,0x3cbded43efdaf0fc77b9c55f6fc9988fcc9b757d,ADDRESS,sanctioned_entity,CU-ENT-0004,,ACTIVE,,,,,CU-TRG-0004,,CU-IMP-0016,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0017,2021-11-09,BLACKLIST,0x6f1ca141a28907f78ebaa64fb83a9088b02a8352,ADDRESS,sanctioned_entity,CU-ENT-0006,,ACTIVE,,,,,CU-TRG-0006,,CU-IMP-0017,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0018,2021-11-09,BLACKLIST,0xc455f7fd3e0e12afd51fba5c106909934d8a0e4a,ADDRESS,sanctioned_entity,CU-ENT-0006,,ACTIVE,,,,,CU-TRG-0006,,CU-IMP-0018,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0019,2021-11-09,BLACKLIST,0x48549a34ae37b12f6a30566245176994e17c6b4a,ADDRESS,sanctioned_entity,CU-ENT-0006,,ACTIVE,,,,,CU-TRG-0006,,CU-IMP-0019,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0020,2021-11-09,BLACKLIST,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,ADDRESS,sanctioned_entity,CU-ENT-0006,,ACTIVE,,,,,CU-TRG-0006,,CU-IMP-0020,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0021,2021-11-25,BLACKLIST,0x029c2c986222dca39843bf420a28646c25d55b6d,ADDRESS,,,,REVERSED,CU-ACT-0027,,,,,,CU-IMP-0021,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0022,2021-11-25,BLACKLIST,0xfae5a6d3bd9bd24a3ed2f2a8a6031c83976c19a2,ADDRESS,,,,ACTIVE,,,,,,,CU-IMP-0022,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0023,2021-11-25,BLACKLIST,0x35663b9a8e4563eefdf852018548b4947b20fce6,ADDRESS,,,,REVERSED,CU-ACT-0026,,,,,,CU-IMP-0023,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0024,2021-11-25,BLACKLIST,0x5eb95f30bd4409cfaadeba75cd8d9c2ce4ed992a,ADDRESS,,,,ACTIVE,,,,,,,CU-IMP-0024,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0025,2021-12-04,BLACKLIST,0x461270bd08dfa98edec980345fd56d578a2d8f49,ADDRESS,,,,ACTIVE,,,,,,,CU-IMP-0025,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0026,2021-12-23,UNBLACKLIST,0x35663b9a8e4563eefdf852018548b4947b20fce6,ADDRESS,,,,ACTIVE,,,,,,,CU-IMP-0026,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0027,2021-12-23,UNBLACKLIST,0x029c2c986222dca39843bf420a28646c25d55b6d,ADDRESS,,,,ACTIVE,,,,,,,CU-IMP-0027,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0028,2022-03-29,BLACKLIST,0xfec8a60023265364d066a1212fde3930f6ae8da7,ADDRESS,sanctioned_entity,CU-ENT-0008,,ACTIVE,,,,,CU-TRG-0008,,CU-IMP-0028,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0029,2022-03-29,BLACKLIST,0x8576acc5c05d6ce88f4e49bf65bdf0c62f91353c,ADDRESS,sanctioned_entity,CU-ENT-0009,,ACTIVE,,,,,CU-TRG-0009,,CU-IMP-0029,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0030,2022-03-29,BLACKLIST,0x901bb9583b24d97e995513c6778dc6888ab6870e,ADDRESS,sanctioned_entity,CU-ENT-0007,,ACTIVE,,,,,CU-TRG-0007,,CU-IMP-0030,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0031,2022-04-06,BLACKLIST,0x7ff9cfad3877f21d41da833e2f775db0569ee3d9,ADDRESS,sanctioned_entity,CU-ENT-0010,,ACTIVE,,,,,CU-TRG-0010,,CU-IMP-0031,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0032,2022-04-14,BLACKLIST,0x098b716b8aaf21512996dc57eb0615e2383e2f96,ADDRESS,sanctioned_entity,CU-ENT-0011,,ACTIVE,,,,,CU-TRG-0011,,CU-IMP-0032,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0033,2022-04-23,BLACKLIST,0xa0e1c89ef1a489c9c7de96311ed5ce5d32c20e4b,ADDRESS,sanctioned_entity,CU-ENT-0011,,ACTIVE,,,,,CU-TRG-0011,,CU-IMP-0033,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0034,2022-04-23,BLACKLIST,0x53b6936513e738f44fb50d2b9476730c0ab3bfc1,ADDRESS,sanctioned_entity,CU-ENT-0011,,ACTIVE,,,,,CU-TRG-0011,,CU-IMP-0034,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0035,2022-04-23,BLACKLIST,0xcce63fd31e9053c110c74cebc37c8e358a6aa5bd,ADDRESS,,,,ACTIVE,,,,,,,CU-IMP-0035,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0036,2022-04-23,BLACKLIST,0x3cffd56b47b7b41c56258d9c7731abadc360e073,ADDRESS,sanctioned_entity,CU-ENT-0011,,ACTIVE,,,,,CU-TRG-0011,,CU-IMP-0036,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0037,2022-05-06,BLACKLIST,0x35fb6f6db4fb05e6a4ce86f2c93691425626d4b1,ADDRESS,sanctioned_entity,CU-ENT-0011,,ACTIVE,,,,,CU-TRG-0011,,CU-IMP-0037,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0038,2022-05-06,BLACKLIST,0xf7b31119c2682c88d88d455dbb9d5932c65cf1be,ADDRESS,sanctioned_entity,CU-ENT-0011,,ACTIVE,,,,,CU-TRG-0011,,CU-IMP-0038,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0039,2022-05-06,BLACKLIST,0x3e37627deaa754090fbfbb8bd226c1ce66d255e9,ADDRESS,sanctioned_entity,CU-ENT-0011,,ACTIVE,,,,,CU-TRG-0011,,CU-IMP-0039,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0040,2022-05-06,BLACKLIST,0x08723392ed15743cc38513c4925f5e6be5c17243,ADDRESS,sanctioned_entity,CU-ENT-0011,,ACTIVE,,,,,CU-TRG-0011,,CU-IMP-0040,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0041,2022-06-02,BLACKLIST,0x29875bd49350ac3f2ca5ceeb1c1701708c795ff3,ADDRESS,,,,REVERSED,CU-ACT-0155,,,,,,CU-IMP-0041,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0042,2022-07-12,BLACKLIST,0x06caa9a5fd7e3dc3b3157973455cbe9b9c2b14d2,ADDRESS,,,,ACTIVE,,,,,,,CU-IMP-0042,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0043,2022-07-12,BLACKLIST,0xbfd88175e4ae6f7f2ee4b01bf96cf48d2bcb4196,ADDRESS,,,,ACTIVE,,,,,,,CU-IMP-0043,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0044,2022-07-12,BLACKLIST,0x2d66370666d7b9315e6e7fdb47f41ad722279833,ADDRESS,,,,ACTIVE,,,,,,,CU-IMP-0044,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0045,2022-07-12,BLACKLIST,0x9ff43bd969e8dbc383d1aca50584c14266f3d876,ADDRESS,,,,ACTIVE,,,,,,,CU-IMP-0045,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0046,2022-08-08,BLACKLIST,0xf60dd140cff0706bae9cd734ac3ae76ad9ebc32a,ADDRESS,tornado_cash_associated,,,REVERSED,CU-ACT-0297,,CU-INC-0001,,CU-TRG-0039,,CU-IMP-0046,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0047,2022-08-08,BLACKLIST,0xba214c1c1928a32bffe790263e38b4af9bfcd659,ADDRESS,tornado_cash_associated,,,REVERSED,CU-ACT-0299,,CU-INC-0001,,CU-TRG-0039,,CU-IMP-0047,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0048,2022-08-08,BLACKLIST,0xb1c8094b234dce6e03f10a5b673c1d8c69739a00,ADDRESS,tornado_cash_associated,,,REVERSED,CU-ACT-0300,,CU-INC-0001,,CU-TRG-0039,,CU-IMP-0048,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0049,2022-08-08,BLACKLIST,0x22aaa7720ddd5388a3c0a3333430953c68f1849b,ADDRESS,tornado_cash_associated,,,REVERSED,CU-ACT-0298,,CU-INC-0001,,CU-TRG-0039,,CU-IMP-0049,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0050,2022-08-08,BLACKLIST,0x722122df12d4e14e13ac3b6895a86e84145b6967,ADDRESS,tornado_cash_associated,,,REVERSED,CU-ACT-0288,,CU-INC-0001,,CU-TRG-0039,,CU-IMP-0050,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0051,2022-08-08,BLACKLIST,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,ADDRESS,tornado_cash_associated,,,REVERSED,CU-ACT-0290,,CU-INC-0001,,CU-TRG-0039,,CU-IMP-0051,,ONCHAIN_SCAN,HIGH,,Circle
CU-ACT-0052,2022-08-08,BLACKLIST,0x527653ea119f3e6a1f5bd18fbf4714081d7b31ce,ADDRESS,tornado_cash_associated,,,REVERSED,CU-ACT-0301,,CU-INC-0001,,CU-TRG-0039,,CU-IMP-0052,,ONCHAIN_SCAN,HIGH,,Circle
